('प्राथमिक-लट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('यङन्त-आशीर्लिङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('यङन्त-आशीर्लिङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('यङन्त-आशीर्लिङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('यङन्त-आशीर्लिङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लट्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लोट्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-विधिलिङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृट्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लिट्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लुङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आगमाभावयुक्तलुङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-लृङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('सन्नन्त-आशीर्लिङ्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
